Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Bradley Beal,1m93,21,10,23.4,5.5,4.6
John Wall,1m95,24,7,17.4,4.7,11.9
Paul Pierce,2m01,37,10,14.6,4.2,0.9
Marcin Gortat,2m13,30,10,12.4,8.8,2.2
Otto Porter,2m06,21,10,10,8,1.8
Nene Hilario,2m05,32,10,7.9,6.6,1.5
Ramon Sessions,1m90,28,10,7.5,2.4,2.3
Drew Gooden,2m10,33,10,6.8,5.5,0.8
Will Bynum,1m80,31,3,6.3,1,1
Kevin Seraphin,2m08,25,6,5.5,3.2,0.3
Kris Humphries,2m00,29,1,2,3,0
Martell Webster,2m01,28,1,2,0,0
Garrett Temple,1m95,28,4,1.8,0.8,0.3
Rasual Butler,2m01,35,2,0,0.5,0.5
